student_id,first_name,last_name,gender,birth_date,region_of_origin,campus,degree_level,programme,department,faculty,admission_year,graduation_year,status,cgpa,degree_class,credits_completed,residential_status,funding_type,scholarship_name,last_update
10000,Lisa,Stark,Female,1992-03-23,Georgia,Main Campus,BA,Barrister's clerk,Computer Science,Science,1990,1994,Dropped,3.35,Second Class Lower,53,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.816430
10001,James,Haynes,Female,2007-10-31,Oregon,North Campus,BA,Sports development officer,Computer Science,Arts,1990,1994,Graduated,2.71,Second Class Lower,130,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10002,Kenneth,Lutz,Male,2008-10-21,Utah,Main Campus,MSc,Politician's assistant,Law,Engineering,1990,1992,Graduated,2.28,Pass,144,Off-Campus,Government-funded,,2025-11-10 20:59:14.816430
10003,Jacob,Mathews,Male,1997-01-16,California,City Campus,BSc,Building surveyor,Arts,Science,1990,1994,Graduated,2.79,Second Class Lower,166,On-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10004,Megan,Bruce,Male,2005-02-08,Arizona,City Campus,PhD,"Scientist, research (physical sciences)",Law,Engineering,1990,1995,Graduated,2.61,First Class,30,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10005,Phillip,Carroll,Female,2002-01-31,Mississippi,Main Campus,BSc,Learning disability nurse,Arts,Business,1990,1994,Dropped,3.27,First Class,89,On-Campus,Government-funded,,2025-11-10 20:59:14.816430
10006,William,Potter,Male,2002-11-11,New Hampshire,City Campus,PhD,Geochemist,Business,Law,1990,1995,Dropped,2.09,Second Class Lower,138,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10007,Timothy,Lawrence,Male,1999-04-16,Maine,North Campus,MSc,Warehouse manager,Arts,Law,1990,1992,Ongoing,3.88,Pass,145,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10008,Stephanie,Johnson,Male,1997-01-25,Oklahoma,Main Campus,PhD,Theatre manager,Arts,Science,1990,1995,Dropped,3.87,First Class,176,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10009,Robert,Bray,Female,1993-11-19,New Jersey,North Campus,MSc,Financial risk analyst,Arts,Engineering,1990,1992,Ongoing,2.25,Pass,158,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
